,date,cases,deaths,hospitalizations
755,2021-02-10,366,11,49.0
756,2020-12-12,915,21,79.0
757,2021-03-11,355,1,28.0
758,2020-12-14,1460,21,106.0
759,2022-07-09,560,1,22.0
760,2020-09-27,167,1,30.0
761,2022-05-07,691,0,21.0
762,2021-09-19,244,2,32.0
763,2021-12-11,874,10,74.0
764,2021-04-24,409,10,46.0
765,2020-06-09,254,23,38.0
766,2020-04-07,556,25,194.0
767,2022-01-25,1370,18,74.0
768,2020-11-29,898,18,93.0
769,2021-04-10,557,8,52.0
770,2022-04-11,546,1,16.0
771,2020-09-30,462,2,22.0
772,2021-10-13,361,4,24.0
773,2021-02-03,571,7,38.0
774,2021-12-14,2817,14,100.0
775,2021-02-24,337,4,35.0
776,2020-07-07,341,4,25.0
777,2020-04-19,459,35,158.0
778,2022-06-29,956,0,26.0
779,2021-07-29,322,1,17.0
780,2021-12-17,3659,9,120.0
781,2020-08-25,412,4,26.0
782,2020-05-08,921,43,98.0
783,2021-04-22,579,4,72.0
784,2020-10-17,547,5,44.0
785,2020-04-20,990,40,181.0
786,2020-07-18,132,4,15.0
787,2022-05-18,1353,2,31.0
788,2020-12-10,1704,19,116.0
789,2021-08-03,443,1,13.0
790,2021-02-09,413,8,35.0
791,2021-03-21,221,4,48.0
792,2020-09-21,420,2,26.0
793,2020-08-20,422,3,24.0
794,2020-10-18,347,1,48.0
795,2021-12-05,512,8,63.0
796,2020-04-14,665,33,166.0
797,2021-10-08,310,8,24.0
798,2020-10-14,850,3,28.0
799,2021-02-22,386,8,28.0
800,2021-03-10,336,10,18.0
801,2021-01-27,655,14,48.0
802,2020-06-22,218,9,32.0
803,2022-03-29,364,0,9.0
804,2020-07-11,154,2,19.0
805,2021-10-10,173,6,25.0
806,2021-01-16,624,15,63.0
807,2020-11-04,2512,8,96.0
808,2021-11-05,472,3,29.0
809,2021-01-25,856,11,66.0
